Time,Input,Output,Reference
0,1,5.29706697,2.648533485
0.005,1,5.398962056,2.699481028
0.01,1,5.761963298,2.880981649
0.015,1,6.70449284,3.35224642
0.02,1,7.965444524,3.982722262
0.025,1,9.436554822,4.718277411
0.03,1,10.66566429,5.332832145
0.035,1,12.44882829,6.224414144
0.04,1,14.34025581,7.170127907
0.045,1,15.90689275,7.953446377
0.05,1,17.94479447,8.972397233
0.055,1,19.81711666,9.908558331
0.06,1,21.77859706,10.88929853
0.065,1,23.62544548,11.81272274
0.07,1,25.87987426,12.93993713
0.075,1,27.54203784,13.77101892
0.08,1,29.79009816,14.89504908
0.085,1,31.61147282,15.80573641
0.09,1,33.60479542,16.80239771
0.095,1,35.58538116,17.79269058
0.1,1,37.5978091,18.79890455
0.105,1,39.64844768,19.82422384
0.11,1,41.85829736,20.92914868
0.115,1,43.7815671,21.89078355
0.12,1,45.48194134,22.74097067
0.125,1,47.48800084,23.74400042
0.13,1,49.6086923,24.80434615
0.135,1,51.54469892,25.77234946
0.14,1,53.67812728,26.83906364
0.145,1,55.8051872,27.9025936
0.15,1,57.6201934,28.8100967
0.155,1,59.12951436,29.56475718
0.16,1,61.34573248,30.67286624
0.165,1,63.42821328,31.71410664
0.17,1,65.33874614,32.66937307
0.175,1,67.44670072,33.72335036
0.18,1,69.2871807,34.64359035
0.185,1,71.65624144,35.82812072
0.19,1,73.5221952,36.7610976
0.195,1,75.35630674,37.67815337
0.2,1,77.28594492,38.64297246
0.205,1,79.33021508,39.66510754
0.21,1,81.41269588,40.70634794
0.215,1,83.3168603,41.65843015
0.22,1,85.4566571,42.72832855
0.225,1,87.62192766,43.81096383
0.23,1,89.73625068,44.86812534
0.235,1,91.5512569,45.77562845
0.24,1,93.37263156,46.68631578
0.245,1,95.35958572,47.67979286
0.25,-1,97.52485628,48.76242814
0.255,-1,98.56291248,49.28145624
0.26,-1,99.72196906,49.86098453
0.265,-1,99.86844326,49.93422163
0.27,-1,99.65828464,49.82914232
0.275,-1,99.05328258,49.52664129
0.28,-1,97.8241731,48.91208655
0.285,-1,96.38490502,48.19245251
0.29,-1,94.75458364,47.37729182
0.295,-1,93.10515696,46.55257848
0.3,-1,91.47483558,45.73741779
0.305,-1,89.93367242,44.96683621
0.31,-1,88.18235062,44.09117531
0.315,-1,86.0807645,43.04038225
0.32,-1,83.9855468,41.9927734
0.325,-1,82.22148812,41.11074406
0.33,-1,80.27911306,40.13955653
0.335,-1,78.33673798,39.16836899
0.34,-1,76.3752576,38.1876288
0.345,-1,74.45198786,37.22599393
0.35,-1,72.40134926,36.20067463
0.355,-1,70.50992172,35.25496086
0.36,-1,68.51659912,34.25829956
0.365,-1,66.68248758,33.34124379
0.37,-1,64.53632234,32.26816117
0.375,-1,62.37742022,31.18871011
0.38,-1,60.70251974,30.35125987
0.385,-1,58.58182828,29.29091414
0.39,-1,56.89419092,28.44709546
0.395,-1,54.9008683,27.45043415
0.4,-1,52.96486168,26.48243084
0.405,-1,50.93332842,25.46666421
0.41,-1,48.83174228,24.41587114
0.415,-1,46.85115654,23.42557827
0.42,-1,44.8068864,22.4034432
0.425,-1,43.01098552,21.50549276
0.43,-1,40.83297806,20.41648903
0.435,-1,38.99886652,19.49943326
0.44,-1,36.81449062,18.40724531
