Time,Input,Output,Reference
0,1,1.324266743,2.648533485
0.005,1,1.349740514,2.699481028
0.01,1,1.440490825,2.880981649
0.015,1,1.67612321,3.35224642
0.02,1,1.991361131,3.982722262
0.025,1,2.359138706,4.718277411
0.03,1,2.666416073,5.332832145
0.035,1,3.112207072,6.224414144
0.04,1,3.585063954,7.170127907
0.045,1,3.976723189,7.953446377
0.05,1,4.486198617,8.972397233
0.055,1,4.954279166,9.908558331
0.06,1,5.444649265,10.88929853
0.065,1,5.90636137,11.81272274
0.07,1,6.469968565,12.93993713
0.075,1,6.88550946,13.77101892
0.08,1,7.44752454,14.89504908
0.085,1,7.902868205,15.80573641
0.09,1,8.401198855,16.80239771
0.095,1,8.89634529,17.79269058
0.1,1,9.399452275,18.79890455
0.105,1,9.91211192,19.82422384
0.11,1,10.46457434,20.92914868
0.115,1,10.94539178,21.89078355
0.12,1,11.37048534,22.74097067
0.125,1,11.87200021,23.74400042
0.13,1,12.40217308,24.80434615
0.135,1,12.88617473,25.77234946
0.14,1,13.41953182,26.83906364
0.145,1,13.9512968,27.9025936
0.15,1,14.40504835,28.8100967
0.155,1,14.78237859,29.56475718
0.16,1,15.33643312,30.67286624
0.165,1,15.85705332,31.71410664
0.17,1,16.33468654,32.66937307
0.175,1,16.86167518,33.72335036
0.18,1,17.32179518,34.64359035
0.185,1,17.91406036,35.82812072
0.19,1,18.3805488,36.7610976
0.195,1,18.83907669,37.67815337
0.2,1,19.32148623,38.64297246
0.205,1,19.83255377,39.66510754
0.21,1,20.35317397,40.70634794
0.215,1,20.82921508,41.65843015
0.22,1,21.36416428,42.72832855
0.225,1,21.90548192,43.81096383
0.23,1,22.43406267,44.86812534
0.235,1,22.88781423,45.77562845
0.24,1,23.34315789,46.68631578
0.245,1,23.83989643,47.67979286
0.25,-1,24.38121407,48.76242814
0.255,-1,24.64072812,49.28145624
0.26,-1,24.93049227,49.86098453
0.265,-1,24.96711082,49.93422163
0.27,-1,24.91457116,49.82914232
0.275,-1,24.76332065,49.52664129
0.28,-1,24.45604328,48.91208655
0.285,-1,24.09622626,48.19245251
0.29,-1,23.68864591,47.37729182
0.295,-1,23.27628924,46.55257848
0.3,-1,22.8687089,45.73741779
0.305,-1,22.48341811,44.96683621
0.31,-1,22.04558766,44.09117531
0.315,-1,21.52019113,43.04038225
0.32,-1,20.9963867,41.9927734
0.325,-1,20.55537203,41.11074406
0.33,-1,20.06977827,40.13955653
0.335,-1,19.5841845,39.16836899
0.34,-1,19.0938144,38.1876288
0.345,-1,18.61299697,37.22599393
0.35,-1,18.10033732,36.20067463
0.355,-1,17.62748043,35.25496086
0.36,-1,17.12914978,34.25829956
0.365,-1,16.6706219,33.34124379
0.37,-1,16.13408059,32.26816117
0.375,-1,15.59435506,31.18871011
0.38,-1,15.17562994,30.35125987
0.385,-1,14.64545707,29.29091414
0.39,-1,14.22354773,28.44709546
0.395,-1,13.72521708,27.45043415
0.4,-1,13.24121542,26.48243084
0.405,-1,12.73333211,25.46666421
0.41,-1,12.20793557,24.41587114
0.415,-1,11.71278914,23.42557827
0.42,-1,11.2017216,22.4034432
0.425,-1,10.75274638,21.50549276
0.43,-1,10.20824452,20.41648903
0.435,-1,9.74971663,19.49943326
0.44,-1,9.203622655,18.40724531
0.445,-1,8.719621,17.439242
0.45,-1,8.20218502,16.40437004
0.455,-1,7.679972705,15.35994541
0.46,-1,7.19756316,14.39512632
0.465,-1,6.678535065,13.35707013
0.47,-1,6.24229673,12.48459346
0.475,-1,5.694610645,11.38922129
0.48,-1,5.173990445,10.34798089
0.485,-1,4.659738684,9.319477368
0.49,-1,4.121605264,8.243210527
0.495,-1,3.645564161,7.291128321
0.5,1,3.144049286,6.288098572
0.505,1,2.728508391,5.457016781
0.51,1,2.540639327,5.081278653
0.515,1,2.519941887,5.039883774
0.52,1,2.56929732,5.138594639
0.525,1,2.817666591,5.635333181
0.53,1,3.131312401,6.262624801
0.535,1,3.473616204,6.947232407
0.54,1,3.830249003,7.660498006
0.545,1,4.221908238,8.443816476
0.55,1,4.726607334,9.453214668
0.555,1,5.159661445,10.31932289
0.56,1,5.664360545,11.32872109
0.565,1,6.135625315,12.27125063
0.57,1,6.605297975,13.21059595
0.575,1,7.076562745,14.15312549
0.58,1,7.55578807,15.11157614
0.585,1,8.060487165,16.12097433
0.59,1,8.56677837,17.13355674
0.595,1,9.044411585,18.08882317
0.6,1,9.59209767,19.18419534
0.605,1,10.09998099,20.19996197
0.61,1,10.62856175,21.25712349
0.615,1,11.06002375,22.12004749
0.62,1,11.58542028,23.17084056
0.625,1,12.11400104,24.22800207
0.63,1,12.60277903,25.20555805
0.635,1,13.08200435,26.1640087
0.64,1,13.61854566,27.23709132
0.645,1,14.10891576,28.21783152
0.65,1,14.52127244,29.04254487
0.655,1,15.04030053,30.08060105
0.66,1,15.51634163,31.03268326
0.665,1,16.08631727,32.17263453
0.67,1,16.5671347,33.1342694
0.675,1,17.07501802,34.15003603
0.68,1,17.56698023,35.13396045
0.685,1,18.09237676,36.18475352
0.69,1,18.59389164,37.18778327
0.695,1,19.05241952,38.10483904
0.7,1,19.60965827,39.21931654
0.705,1,20.05704138,40.11408276
0.71,1,20.55377992,41.10755984
0.715,1,21.07440013,42.14880025
0.72,1,21.60457299,43.20914598
0.725,1,22.12360108,44.24720216
0.73,1,22.62670807,45.25341613
0.735,1,23.07090696,46.14181391
0.74,1,23.58834294,47.17668587
0.745,1,24.14398958,48.28797915
0.75,-1,24.68371511,49.36743021
0.755,-1,25.02761102,50.05522204
0.76,-1,25.15020355,50.30040709
0.765,-1,25.18045365,50.3609073
0.77,-1,25.09766389,50.19532778
0.775,-1,24.96233448,49.92466896
0.78,-1,24.76332065,49.52664129
0.785,-1,24.36370086,48.72740171
0.79,-1,23.9688574,47.93771479
0.795,-1,23.55172439,47.10344878
0.8,-1,23.0916044,46.18320879
0.805,-1,22.78114281,45.56228561
0.81,-1,22.28758849,44.57517697
0.815,-1,21.81632372,43.63264743
0.82,-1,21.3386905,42.677381
0.825,-1,20.8037413,41.6074826
0.83,-1,20.30700276,40.61400552
0.835,-1,19.84210643,39.68421286
0.84,-1,19.35332845,38.70665689
0.845,-1,18.82952402,37.65904804
0.85,-1,18.31208804,36.62417608
0.855,-1,17.92042881,35.84085761
0.86,-1,17.3393084,34.67861679
0.865,-1,16.86326729,33.72653458
0.87,-1,16.35379187,32.70758373
0.875,-1,15.86660599,31.73321197
0.88,-1,15.35235423,30.70470845
0.885,-1,14.80307603,29.60615206
0.89,-1,14.38912725,28.77825449
0.895,-1,13.96881002,27.93762003
0.9,-1,13.40679494,26.81358987
0.905,-1,12.91164851,25.82329701
0.91,-1,12.39739675,24.79479349
0.915,-1,11.88951343,23.77902685
0.92,-1,11.41347233,22.82694465
0.925,-1,10.94379967,21.88759933
0.93,-1,10.41999524,20.83999048
0.935,-1,9.896190815,19.79238163
0.94,-1,9.354873175,18.70974635
0.945,-1,8.870871515,17.74174303
0.95,-1,8.377317195,16.75463439
0.955,-1,7.85032855,15.7006571
0.96,-1,7.367919005,14.73583801
0.965,-1,6.83933825,13.6786765
0.97,-1,6.358520815,12.71704163
0.975,-1,5.806058395,11.61211679
0.98,-1,5.29499086,10.58998172
0.985,-1,4.750488995,9.500977989
0.99,-1,4.210763463,8.421526926
0.995,-1,3.718801253,7.437602506
1,1,3.226839044,6.453678087
1.005,1,2.750797941,5.501595881
1.01,1,2.57088943,5.14177886
1.015,1,2.500836559,5.001673117
1.02,1,2.626613305,5.25322661
1.025,1,2.808113926,5.616227852
1.03,1,3.169523058,6.339046115
1.035,1,3.519787414,7.039574828
1.04,1,3.803183121,7.606366242
1.045,1,4.296737442,8.593474883
1.05,1,4.732975777,9.465951553
1.055,1,5.22971432,10.45942864
1.06,1,5.734413415,11.46882683
1.065,1,6.204086075,12.40817215
1.07,1,6.657837625,13.31567525
1.075,1,7.17686572,14.35373144
1.08,1,7.659275265,15.31855053
1.085,1,8.16556647,16.33113294
1.09,1,8.706884115,17.41376823
1.095,1,9.17178044,18.34356088
1.1,1,9.72901919,19.45803838
1.105,1,10.19869185,20.3973837
1.11,1,10.78299648,21.56599296
1.115,1,11.20012949,22.40025898
1.12,1,11.7509998,23.50199959
1.125,1,12.21748824,24.43497647
1.13,1,12.79860865,25.59721729
1.135,1,13.28738663,26.57477326
1.14,1,13.81596739,27.63193478
1.145,1,14.32066649,28.64133297
1.15,1,14.70118095,29.40236189
1.155,1,15.27274869,30.54549738
1.16,1,15.80610578,31.61221156
1.165,1,16.27259422,32.54518843
1.17,1,16.82824086,33.65648171
1.175,1,17.30109774,34.60219547
1.18,1,17.89973137,35.79946273
1.185,1,18.34711448,36.69422895
1.19,1,18.85977413,37.71954825
1.195,1,19.35969689,38.71939377
1.2,1,19.89146187,39.78292373
1.205,1,20.3866083,40.77321659
1.21,1,20.88016262,41.76032523
1.215,1,21.43899348,42.87798695
1.22,1,21.98031112,43.96062224
1.225,1,22.47864177,44.95728354
1.23,1,22.95149866,45.90299731
1.235,1,23.45301353,46.90602705
1.24,1,23.98796273,47.97592545
1.245,1,24.52928037,49.05856074
1.25,-1,25.03079524,50.06159048
1.255,-1,25.4256387,50.8512774
1.26,-1,25.59121822,51.18243643
1.265,-1,25.63261309,51.26522618
1.27,-1,25.58484977,51.16969954
1.275,-1,25.35558583,50.71117165
1.28,-1,25.15179566,50.30359131
1.285,-1,24.87795262,49.75590523
1.29,-1,24.4894776,48.9789552
1.295,-1,24.04209449,48.08418898
1.3,-1,23.60107983,47.20215965
1.305,-1,23.11389395,46.22778789
1.31,-1,22.76203748,45.52407496
1.315,-1,22.22868039,44.45736078
1.32,-1,21.77492884,43.54985767
1.325,-1,21.24316386,42.48632772
1.33,-1,20.71776733,41.43553465
1.335,-1,20.20988401,40.41976801
1.34,-1,19.75772457,39.51544913
1.345,-1,19.20685426,38.41370852
1.35,-1,18.70374728,37.40749455
1.355,-1,18.21019296,36.42038591
1.36,-1,17.72778341,35.45556681
1.365,-1,17.1912421,34.38248419
1.37,-1,16.72634577,33.45269154
1.375,-1,16.16910702,32.33821404
1.38,-1,15.63893416,31.27786831
1.385,-1,15.17244572,30.34489143
1.39,-1,14.63590441,29.27180881
1.395,-1,14.22673195,28.4534639
1.4,-1,13.67904587,27.35809173
1.405,-1,13.22051798,26.44103596
1.41,-1,12.66487135,25.32974269
1.415,-1,12.15698803,24.31397605
1.42,-1,11.65228893,23.30457786
1.425,-1,11.08868174,22.17736348
1.43,-1,10.63174597,21.26349193
1.435,-1,10.09838888,20.19677775
1.44,-1,9.600058225,19.20011645
1.445,-1,9.087398575,18.17479715
1.45,-1,8.54448882,17.08897764
1.455,-1,8.0509345,16.101869
1.46,-1,7.54145907,15.08291814
1.465,-1,7.006509875,14.01301975
1.47,-1,6.535245105,13.07049021
1.475,-1,5.985966905,11.97193381
1.48,-1,5.42872816,10.85745632
1.485,-1,4.893778959,9.787557917
1.49,-1,4.341316542,8.682633083
1.495,-1,3.820696339,7.641392678
1.5,1,3.344655236,6.689310472
1.505,1,2.890903683,5.781807366
1.51,1,2.734876834,5.469753667
1.515,1,2.715771505,5.43154301
1.52,1,2.746021609,5.492043217
1.525,1,2.981653994,5.963307987
1.53,1,3.269826033,6.539652065
1.535,1,3.615314057,7.230628114
1.54,1,3.930551978,7.861103956
1.545,1,4.393856195,8.78771239
1.55,1,4.818949755,9.63789951
1.555,1,5.34275418,10.68550836
1.56,1,5.847453275,11.69490655
1.565,1,6.34737604,12.69475208
1.57,1,6.75177216,13.50354432
1.575,1,7.31060302,14.62120604
1.58,1,7.76435457,15.52870914
1.585,1,8.26905367,16.53810734
1.59,1,8.754647435,17.50929487
1.595,1,9.311886185,18.62377237
1.6,1,9.81499317,19.62998634
1.605,1,10.2942185,20.58843699
1.61,1,10.87693102,21.75386203
1.615,1,11.31316935,22.6263387
1.62,1,11.82105267,23.64210533
1.625,1,12.31460699,24.62921397
1.63,1,12.86706941,25.73413881
1.635,1,13.39087383,26.78174766
1.64,1,13.92741514,27.85483028
1.645,1,14.37479825,28.7495965
1.65,1,14.78556281,29.57112562
1.655,1,15.34120945,30.6824189
1.66,1,15.89367187,31.78734373
1.665,1,16.3744893,32.7489786
1.67,1,16.91580695,33.83161389
1.675,1,17.39025594,34.78051187
1.68,1,17.97774479,35.95548958
1.685,1,18.39965413,36.79930825
1.69,1,18.92505066,37.85010132
1.695,1,19.44726298,38.89452595
1.7,1,19.93444886,39.86889771
1.705,1,20.46302961,40.92605922
1.71,1,20.97728137,41.95456274
1.715,1,21.49312524,42.98625048
1.72,1,22.03921922,44.07843843
1.725,1,22.54551042,45.09102084
1.73,1,23.01677519,46.03355038
1.735,1,23.54376384,47.08752767
1.74,1,24.07871304,48.15742607
1.745,1,24.61047802,49.22095603
1.75,-1,25.06263746,50.12527491
1.755,-1,25.46862569,50.93725138
1.76,-1,25.65808687,51.31617373
1.765,-1,25.72973185,51.45946369
1.77,-1,25.61669199,51.23338397
1.775,-1,25.38742804,50.77485608
1.78,-1,25.20592742,50.41185484
1.785,-1,24.89228161,49.78456322
1.79,-1,24.50062238,49.00124475
1.795,-1,24.03891027,48.07782054
1.8,-1,23.63769837,47.27539674
1.805,-1,23.12503872,46.25007744
1.81,-1,22.77318226,45.54636451
1.815,-1,22.2589305,44.51786099
1.82,-1,21.79403417,43.58806833
1.825,-1,21.24475597,42.48951194
1.83,-1,20.72731999,41.45463998
1.835,-1,20.2082919,40.41658379
1.84,-1,19.77046145,39.5409229
1.845,-1,19.23551225,38.4710245
1.85,-1,18.71170783,37.42341565
1.855,-1,18.21178507,36.42357013
1.86,-1,17.7405203,35.48104059
1.865,-1,17.19761054,34.39522108
1.87,-1,16.71042466,33.42084932
1.875,-1,16.16273858,32.32547715
1.88,-1,15.64848682,31.29697363
1.885,-1,15.1549325,30.30986499
1.89,-1,14.6502334,29.3004668
1.895,-1,14.2331004,28.46620079
1.9,-1,13.6981512,27.39630239
1.905,-1,13.18867577,26.37735153
1.91,-1,12.68397667,25.36795334
1.915,-1,12.14584325,24.2916865
1.92,-1,11.62999938,23.25999876
1.925,-1,11.07435274,22.14870548
1.93,-1,10.62856175,21.25712349
1.935,-1,10.06973089,20.13946177
1.94,-1,9.57299234,19.14598468
1.945,-1,9.050780025,18.10156005
1.95,-1,8.549265155,17.09853031
1.955,-1,8.02546073,16.05092146
1.96,-1,7.520761635,15.04152327
1.965,-1,6.992180875,13.98436175
1.97,-1,6.536837215,13.07367443
1.975,-1,5.939795695,11.87959139
1.98,-1,5.400070165,10.80014033
1.985,-1,4.839647195,9.679294389
1.99,-1,4.306290106,8.612580212
1.995,-1,3.809551564,7.619103128
2,1,3.312813022,6.625626043
